Feature,Importance,Method
city_development_index,0.1848847057453317,permutation importance (ROC-AUC)
company_size,0.07082173657478433,permutation importance (ROC-AUC)
company_type_Pvt Ltd,0.013776312221682407,permutation importance (ROC-AUC)
education_level,0.012293637751657371,permutation importance (ROC-AUC)
experience,0.00782687026734874,permutation importance (ROC-AUC)
relevent_experience_Has relevent experience,0.00459200701719904,permutation importance (ROC-AUC)
last_new_job,0.0042844222184612365,permutation importance (ROC-AUC)
city_freq,0.0037557301362857844,permutation importance (ROC-AUC)
training_hours,0.003384160711328521,permutation importance (ROC-AUC)
company_type_Unknown,0.0014188718251086474,permutation importance (ROC-AUC)
company_type_Public Sector,0.0014130848196656,permutation importance (ROC-AUC)
enrolled_university_Full time course,0.0011858629644390106,permutation importance (ROC-AUC)
relevent_experience_No relevent experience,0.001069285741582915,permutation importance (ROC-AUC)
enrolled_university_no_enrollment,0.0006243778514195997,permutation importance (ROC-AUC)
major_discipline_No Major,0.0005322589157189306,permutation importance (ROC-AUC)
company_type_Funded Startup,0.0003734984267715902,permutation importance (ROC-AUC)
major_discipline_Business Degree,0.0003227620394280484,permutation importance (ROC-AUC)
company_type_Other,0.0003000871690442164,permutation importance (ROC-AUC)
major_discipline_Unknown,0.00014394721086352646,permutation importance (ROC-AUC)
major_discipline_Other,0.00012028964144226162,permutation importance (ROC-AUC)
gender_Unknown,8.505806113474623e-05,permutation importance (ROC-AUC)
enrolled_university_Unknown,6.245598327225821e-05,permutation importance (ROC-AUC)
major_discipline_Humanities,5.321133306765979e-05,permutation importance (ROC-AUC)
gender_Other,1.3866975306919826e-05,permutation importance (ROC-AUC)
company_type_Early Stage Startup,9.026272640744182e-06,permutation importance (ROC-AUC)
major_discipline_Arts,6.696911959291896e-06,permutation importance (ROC-AUC)
company_type_NGO,-6.478534395393254e-06,permutation importance (ROC-AUC)
gender_Female,-2.897142347604298e-05,permutation importance (ROC-AUC)
enrolled_university_Part time course,-8.534923121996662e-05,permutation importance (ROC-AUC)
gender_Male,-0.00032039628248594634,permutation importance (ROC-AUC)
major_discipline_STEM,-0.0012516310074303094,permutation importance (ROC-AUC)
