Feature,Coefficient,Absolute_Coefficient
major_discipline_Unknown,-0.9250839165482998,0.9250839165482998
city_development_index,-0.7950356646790118,0.7950356646790118
company_type_Unknown,0.7620358189545506,0.7620358189545506
company_type_Funded Startup,-0.5957020667581284,0.5957020667581284
city_freq,0.3807156563394346,0.3807156563394346
major_discipline_Business Degree,0.34371049498375356,0.34371049498375356
company_type_Early Stage Startup,-0.33221750781317855,0.33221750781317855
company_type_Public Sector,0.25662715886661763,0.25662715886661763
company_type_Other,0.22771653099594757,0.22771653099594757
major_discipline_STEM,0.2276177849876207,0.2276177849876207
company_type_Pvt Ltd,-0.20064375795769424,0.20064375795769424
enrolled_university_Full time course,0.2006291337781333,0.2006291337781333
major_discipline_Arts,0.1660495530923198,0.1660495530923198
company_type_NGO,-0.15210329295060843,0.15210329295060843
enrolled_university_Unknown,-0.1512024863497172,0.1512024863497172
relevent_experience_Has relevent experience,-0.1453889951776325,0.1453889951776325
experience,-0.14023506832022903,0.14023506832022903
gender_Other,0.1262055598928323,0.1262055598928323
enrolled_university_no_enrollment,-0.11603267173860025,0.11603267173860025
relevent_experience_No relevent experience,0.11110187851513609,0.11110187851513609
major_discipline_No Major,0.09487513754802349,0.09487513754802349
gender_Male,-0.08944817711467253,0.08944817711467253
education_level,-0.08447723443299128,0.08447723443299128
company_size,-0.07826288500234228,0.07826288500234228
last_new_job,0.06729798958424672,0.06729798958424672
gender_Unknown,-0.06539253263303785,0.06539253263303785
major_discipline_Humanities,0.04130849250770905,0.04130849250770905
enrolled_university_Part time course,0.032318907647688654,0.032318907647688654
training_hours,-0.026434890321760877,0.026434890321760877
major_discipline_Other,0.0172353367663805,0.0172353367663805
gender_Female,-0.005651966807618835,0.005651966807618835
